"","Compound.Type","Compound.Name","Emperical.Formula","RT..min.","m.z","ionization_form","Fraction1"
"1","New","2-Hydroxy-4-(methylthio)butyric_acid","C5H10O3S",2.69,"149.027242","[M-H]","HILICNeg"
"2","Sulfur","3-Sulfopyruvic Acid","C3H4O6S",12.92,"166.965037","[M-H]","HILICNeg"
"3","Co-enzyme A","Acetoacetyl CoA","C25H40N7O18P3S",10.6,"850.128524","[M-H]","HILICNeg"
"4","Co-enzyme A","Acetyl CoA","C23H38N7O17P3S",10.84,"808.117959","[M-H]","HILICNeg"
"5","Internal Standard","Acetyl CoA, 13C2","C21C(13)2H38N7O17P3S",10.84,"810.1252","[M-H]","HILICNeg"
"6","Organic Acid","Aconitic Acid","C6H6O6",14.21,"173.008615","[M-H]","HILICNeg"
"7","Nucleic Acid","Adenine","C5H5N5",4.72,"134.0462","[M-H]","HILICNeg"
"8","Nucleoside","Adenosine","C10H13N5O4",4.46,"266.08948","[M-H]","HILICNeg"
"9","Internal Standard","Adenosine Monophosphate, 15N5","C10H13N(15)5O7P",11.585,"351.0411","[M-H]","HILICNeg"
"10","Energy charge","ADP","C10H15N5O10P2",12.09,"426.021596","[M-H]","HILICNeg"
"11","Sulfur","Amino Propanesulfonic Acid","C3H9NO3S",11.49,"138.022491","[M-H]","HILICNeg"
"12","Energy charge","AMP","C10H14N5O7P",11.585,"346.055262","[M-H]","HILICNeg"
"13","Energy charge","ATP","C10H16N5O13P3",15.35,"505.987929","[M-H]","HILICNeg"
"14","Intracellular signaling","cAMP","C10H12N5O6P",4.06,"328.044698","[M-H]","HILICNeg"
"15","Intracellular signaling","cGMP","C10H12N5O7P",8.8,"344.039613","[M-H]","HILICNeg"
"16","Organic Acid","Citric Acid","C6H8O7",15.65,"191.01918","[M-H]","HILICNeg"
"17","Co-enzyme A","Crotonyl CoA","C25H40N7O17P3S",8.45,"834.133609","[M-H]","HILICNeg"
"18","Intracellular signaling","Cyclic diGMP","C20H24N10O14P2",13.74,"689.087051","[M-H]","HILICNeg"
"19","Sulfur","Cysteic Acid","C3H7NO5S",12.15,"167.996671","[M-H]","HILICNeg"
"20","Nucleoside","Cytidine","C9H13N3O5",8.55,"242.077697","[M-H]","HILICNeg"
"21","Nucleic Acid","Cytosine","C4H5N3O",7.41,"110.035437","[M-H]","HILICNeg"
"22","Calvin cycle intermediate","DHAP","C3H7O6P",12.86,"168.990203","[M-H]","HILICNeg"
"23","Sulfur","DHPS","C3H8O5S",10.67,"155.001422","[M-H]","HILICNeg"
"24","Osmolyte","Ectoine","C6H10N2O2",9.25,"141.066403","[M-H]","HILICNeg"
"25","Sulfur","Ethanesulfonic Acid","C2H6O3S",4.29,"108.995942","[M-H]","HILICNeg"
"26","Lignin","Ethyl Dihydroxybenzoate","C9H10O4",2.08,"181.050085","[M-H]","HILICNeg"
"27","Redox","FAD","C27H33N9O15P2",7.585,"784.149317","[M-H]","HILICNeg"
"28","Sugar phosphate","Fructose 6 phosphate","C6H13O9P",13.51,"259.021897","[M-H]","HILICNeg"
"29","Organic Acid","Fumaric Acid","C4H4O4",12.7,"115.003135","[M-H]","HILICNeg"
"30","Organic Acid","Gluconic Acid","C6H12O7",10.79,"195.05048","[M-H]","HILICNeg"
"31","Sugar phosphate","Glucose 1 phosphate","C6H13O9P",13.45,"259.021897","[M-H]","HILICNeg"
"32","Sugar phosphate","Glucose 6 phosphate","C6H13O9P",14.12,"259.021897","[M-H]","HILICNeg"
"33","Redox","glycerol 3 phosphate","C3H9O6P",13.065,"171.005853","[M-H]","HILICNeg"
"34","Energy charge","GMP","C10H14N5O8P",13.85,"362.050178","[M-H]","HILICNeg"
"35","Energy charge","GTP","C10H16N5O14P3",16.58,"521.982844","[M-H]","HILICNeg"
"36","Nucleic Acid","Guanine","C5H5N5O",8.61,"150.041585","[M-H]","HILICNeg"
"37","Nucleoside","Guanosine","C10H13N5O5",9.06,"282.083845","[M-H]","HILICNeg"
"38","Internal Standard","Guanosine Monophosphate, 15N5","C10H13N(15)5O8P",13.85,"367.0364","[M-H]","HILICNeg"
"39","Co-enzyme A","Hydroxybutyryl CoA","C25H42N7O18P3S",11.545,"852.144174","[M-H]","HILICNeg"
"40","Phytohormone","Indole 3 carbinol","C9H9NO",2.395,"146.060589","[M-H]","HILICNeg"
"41","Phytohormone","Indole 3 Pyruvic Acid","C11H9NO3",2.375,"202.050419","[M-H]","HILICNeg"
"42","Sulfur","Isethionic Acid","C2H6O4S",7.2,"124.990857","[M-H]","HILICNeg"
