"","Compound.Type","Compound.Name","Emperical.Formula","RT..min.","m.z","ionization_form","Fraction1"
"1","New2","Acetyl-L-carnitine","C9H17NO4",7.22,"204.123584","[M+H]","HILICPos"
"2","Nucleic Acid","Adenine","C5H5N5",4.72,"136.06232","[M+H]","HILICPos"
"3","Nucleoside","Adenosine","C10H13N5O4",4.46,"268.10458","[M+H]","HILICPos"
"4","Amino Acid synthesis","Adenosyl Homocysteine","C14H20N6O5S",10.85,"385.129416","[M+H]","HILICPos"
"5","Amino Acid synthesis","Adenosyl Methionine","C15H22N6O5S",13.01,"399.145066","[M+H]","HILICPos"
"6","Amino Acid","Alanine","C3H7NO2",11.3,"90.055504","[M+H]","HILICPos"
"7","Amino Acid - degraded","Aminobutyric Acid","C4H9NO2",11.155,"104.071154","[M+H]","HILICPos"
"8","Amino Acid","Arginine","C6H14N4O2",17.93,"175.119501","[M+H]","HILICPos"
"9","New","Argininosuccinic Acid","C10H18N4O6",13.69,"291.13046","[M+H]","HILICPos"
"10","Amino Acid","Asparagine","C4H8N2O3",11.86,"133.061318","[M+H]","HILICPos"
"11","Amino Acid","Aspartic acid","C4H7NO4",12.86,"134.045334","[M+H]","HILICPos"
"12","Amino Acid derivative","Betaine","C5H11NO2",7.86,"118.086804","[M+H]","HILICPos"
"13","New2","Butyryl-L-carnitine","C11H21NO4",4.47,"232.154884","[M+H]","HILICPos"
"14","New","Carnitine","C7H15NO3",10.21,"162.113019","[M+H]","HILICPos"
"15","Amino sugar","Chitobiose","C16H28N2O11",10.21,"425.177138","[M+H]","HILICPos"
"16","Vitamin (B-like)","Choline","C5H14NO",15.265,"104.107539","[M]","HILICPos"
"17","New","Citrulline","C6H13N3O3",12.21,"176.103517","[M+H]","HILICPos"
"18","Organic Acid - nitrogenous","Creatine","C4H9N3O2",11.34,"132.077302","[M+H]","HILICPos"
"19","New","Cys-Gly","C5H10N2O3S",9.53,"179.04904","[M+H]","HILICPos"
"20","New","Cys-Gly oxidized","C10H18N4O6S2",11.85,"355.074605","[M+H]","HILICPos"
"21","Amino Acid synthesis","Cystathionine","C7H14N2O4S",13.14,"223.075255","[M+H]","HILICPos"
"22","Amino Acid","Cysteine","C3H7NO2S",7,"122.027576","[M+H]","HILICPos"
"23","Amino Acid","Cystine","C6H12N2O4S2",13.1,"241.031677","[M+H]","HILICPos"
"24","Nucleoside","Cytidine","C9H13N3O5",8.55,"244.093347","[M+H]","HILICPos"
"25","Nucleic Acid","Cytosine","C4H5N3O",7.41,"112.051087","[M+H]","HILICPos"
"26","Amino Acid derivative","Dimethyl Glycine","C4H9NO2",8.97,"104.071154","[M+H]","HILICPos"
"27","Internal Standard","DL-Alanine, D3","C3H4D3NO2",11.3,"93.0738","[M+H]","HILICPos"
"28","Internal Standard","DL-Histidine, 15N","C6H9N3N(15)O2",11.45,"157.0738","[M+H]","HILICPos"
"29","Internal Standard","DL-Proline, D7","C5H3D7NO2",9.49,"123.1145","[M+H]","HILICPos"
"30","Internal Standard","DL-Valine, D8","C5H4D8NO2",9.09,"126.1365","[M+H]","HILICPos"
"31","Sulfur","DMSP","C5H10O2S",9.325,"135.047977","[M+H]","HILICPos"
"32","Osmolyte","Ectoine","C6H10N2O2",9.25,"143.082053","[M+H]","HILICPos"
"33","Osmolyte","Hydroxyectoine","C6H10N2O3",11.07,"159.076968","[M+H]","HILICPos"
"34","Lignin","Ethyl 3 aminobenzoate","C9H11NO2",2.01,"166.086804","[M+H]","HILICPos"
"35","New2","Glucosamine","C6H13NO5",9.97,"180.087199","[M+H]","HILICPos"
"36","Osmolyte","Glucosylglycerol","C9H18O8",10.1,"255.107995","[M+H]","HILICPos"
"37","Amino Acid","Glutamic acid","C5H9NO4",12.41,"148.060984","[M+H]","HILICPos"
"38","Amino Acid","Glutamine","C5H10N2O3",11.7,"147.076968","[M+H]","HILICPos"
"39","Antioxidant","Glutathione","C10H17N3O6S",12,"308.091634","[M+H]","HILICPos"
"40","Sulfur","Glutathione Disulfide","C20H32N6O12S2",14.98,"613.159793","[M+H]","HILICPos"
"41","New2","Glycerophosphocholine","C8H21NO6P",10.86,"258.110652","[M]","HILICPos"
"42","Amino Acid","Glycine","C2H5NO2",11.51,"76.039854","[M+H]","HILICPos"
"43","Nucleic Acid","Guanine","C5H5N5O",8.61,"152.057235","[M+H]","HILICPos"
"44","Nucleoside","Guanosine","C10H13N5O5",9.06,"284.099495","[M+H]","HILICPos"
"45","Amino Acid","Histidine","C6H9N3O2",11.45,"156.077302","[M+H]","HILICPos"
"46","Osmolyte","Homarine","C7H7NO2",6.19,"138.055503","[M+H]","HILICPos"
"47","New","Homocysteine Thiolactone","C4H7NOS",2.78,"118.032661","[M+H]","HILICPos"
"48","New","Homocystine","C8H16N2O4S2",12.58,"269.062977","[M+H]","HILICPos"
"49","New","Homoserine","C4H9NO3",11.32,"120.066069","[M+H]","HILICPos"
"50","Amino Acid - collagen","Hydroxylysine","C6H14N2O3",16.37,"163.108268","[M+H]","HILICPos"
"51","Sulfur","Hypotaurine","C2H7NO2S",11.36,"110.027576","[M+H]","HILICPos"
"52","Amino Acid","Isoleucine","C6H13NO2",8.17,"132.102454","[M+H]","HILICPos"
"53","Amino Acid","Kynurenine","C10H12N2O3",4.345,"209.092618","[M+H]","HILICPos"
"54","Amino Acid","Leucine","C6H13NO2",7.63,"132.102454","[M+H]","HILICPos"
"55","Amino Acid synthesis","L-Homocysteine","C4H9NO2S",8.7,"136.043226","[M+H]","HILICPos"
"56","Internal Standard","L-Isoleucine, 15N","C6H13N(15)O2",8.17,"133.0989","[M+H]","HILICPos"
"57","Internal Standard","L-Methionine, D3","C5D3H8NO2S",7.96,"153.0771","[M+H]","HILICPos"
"58","New2","L-Pyroglutamic acid","C5H7NO3",7.97,"130.050419","[M+H]","HILICPos"
